title,keySpecs,rating,ratingCount,price,url
DigiClues Air-320 with Up to 18 Hours Playback Bluetooth Headset,"['With Mic:Yes', 'Bluetooth version: 5.1', 'Wireless range: 10 m', 'Battery life: 48 hr | Charging time: 1Hr']",3.7,29,749,http://dl.flipkart.com/dl/digiclues-air-320-up-18-hours-playback-bluetooth-headset/p/itma7fb7c753d363?pid=ACCGDZ86YPC7SBWA
ULTADOR M31 HIGH BASS GREEN With Long Life Battery Backup Quality 25 Hours Bluetooth Headset,"['With Mic:Yes', 'Bluetooth version: 5.1', 'Wireless range: 10 m', 'Battery life: 100 hr | Charging time: 1 HR']",4.3,10,599,http://dl.flipkart.com/dl/ultador-m31-high-bass-green-long-life-battery-backup-quality-25-hours-bluetooth-headset/p/itm970cc3cfaaa55?pid=ACCGE2PJU4FUZXUU
DigiClues Air-Pro TWS with Charginge Case Mic Stereo Sound Quality Bluetooth Headset,"['With Mic:Yes', 'Bluetooth version: 5.0', 'Wireless range: 10 m', 'Battery life: 48 hr | Charging time: 1Hr']",3.1,116,699,http://dl.flipkart.com/dl/digiclues-air-pro-tws-charginge-case-mic-stereo-sound-quality-bluetooth-headset/p/itmff33e402be237?pid=ACCGCY5SSMSJ54RG
"ULTADOR Wireless Bluetooth with Mic 30 Hours Playtime, Waterproof IPX5, Bluetooth Headset","['With Mic:Yes', 'Bluetooth version: 5.0', 'Wireless range: 10 m', 'Battery life: 100 hr | Charging time: 1', 'Flatwire: Stays tangle free even in your pocket']",3.9,51,569,http://dl.flipkart.com/dl/ultador-wireless-bluetooth-mic-30-hours-playtime-waterproof-ipx5-headset/p/itmdbbda9ebf80ce?pid=ACCGBQH2QM5G25TX
ULTADOR ULD M-31 Bluetooth5.1 Headphones with Neckband Microphone 30Hours Battery Life Bluetooth Headset,"['With Mic:Yes', 'Bluetooth version: 5.1', 'Wireless range: 10 m', 'Battery life: 100 hr | Charging time: 1 HR']",3.6,209,599,http://dl.flipkart.com/dl/ultador-uld-m-31-bluetooth5-1-headphones-neckband-microphone-30hours-battery-life-bluetooth-headset/p/itmfe5e0c5e0cbd8?pid=ACCGCR2SEEX3QYZN
CIHLEX Sports Wireless Neckband Bluetooth Headset,"['With Mic:Yes', 'Bluetooth version: 5.1', 'Wireless range: 10 m', 'Battery life: 12 hr | Charging time: 1:00 Hour']",3.5,288,428,http://dl.flipkart.com/dl/cihlex-sports-wireless-neckband-bluetooth-headset/p/itm7cc3d755f80c7?pid=ACCGF4DG9BC7KGPT
APPLE MNHF2ZM/A Wired Headset,"['With Mic:Yes', 'Connector type: 3.5 mm', 'Extra bass: Add extra thump to your music']",4.1,11990,1529,http://dl.flipkart.com/dl/apple-mnhf2zm-a-wired-headset/p/itm0baccee4eb1d7?pid=ACCE9Q9FVGFXFHGK
DigiClues TWS-L31 Bluetooth Headset,"['With Mic:Yes', 'Bluetooth version: 5.1', 'Wireless range: 10 m', 'Battery life: 36 hr | Charging time: 1Hr']",0,0,799,http://dl.flipkart.com/dl/digiclues-tws-l31-bluetooth-headset/p/itm011fc9952557a?pid=ACCGEPXHXJBPYDGF
Qexle Earphones with Ultra Dolby Sound Bass 3.5mm Jack Wired Headset,"['With Mic:Yes', 'Connector type: 3.5MM', 'Bluetooth version: 5', 'Wireless range: 10 m', 'Battery life: 100 hr', 'Flatwire: Stays tangle free even in your pocket']",4.8,5,238,http://dl.flipkart.com/dl/qexle-earphones-ultra-dolby-sound-bass-3-5mm-jack-wired-headset/p/itm7fabfdba52973?pid=ACCGE5GZHKBXZ6KH
Qexle Bluetooth Neckband For Home/Office/Gym Earphone High Bass Noise Cancellation Bluetooth Headset,"['With Mic:Yes', 'Bluetooth version: 5', 'Wireless range: 10 m', 'Battery life: 100 hr | Charging time: 1HR', 'Flatwire: Stays tangle free even in your pocket']",0,0,549,http://dl.flipkart.com/dl/qexle-bluetooth-neckband-home-office-gym-earphone-high-bass-noise-cancellation-headset/p/itm8b96898a07ab5?pid=ACCGEBK5HGHPJYJP
e Long Life Battery Bluetooth Headset,"<div class=""_30jeq3"">₹599</div>"
30,DigiClues Gaming TWS With Charging Case & 65ms Latency Tecnology Bluetooth Headset,"<div class=""_30jeq3"">₹999</div>"
31,CIHLEX Sports Wireless Neckband Bluetooth Headset,"<div class=""_30jeq3"">₹428</div>"
32,CIHLEX High Quality Bluetooth Neckband for All Mobile Bluetooth Headset,"<div class=""_30jeq3"">₹699</div>"
33,TEQIR Neckband with Upto 15 Hours Playtime Crystal Clear Sound with High Bass & Mic Bluetooth Headset,"<div class=""_30jeq3"">₹475</div>"
34,CIHLEX Bluetooth Headphone Neckbands Earphones Earbuds Long Lifes Battery Bluetooth Headset,"<div class=""_30jeq3"">₹588</div>"
35,CIHYARD 25Hr Long Life Battery Bluetooth Headphone Neckband Earphone Clear Sound Bluetooth Headset,"<div class=""_30jeq3"">₹788</div>"
36,APPLE MNHF2ZM/A Wired Headset,"<div class=""_30jeq3"">₹1,529</div>"
37,DigiClues T-18 TWS Bluetooth Headset,"<div class=""_30jeq3"">₹999</div>"
38,CIHLEX BT-22 SUPER BASS Grey With Long Life Battery Bluetooth Headset,"<div class=""_30jeq3"">₹446</div>"
39,"CIHLEX Waterproof Bluetooth Neckband, Wireless Stereo Headset With Mic Bluetooth Headset","<div class=""_30jeq3"">₹699</div>"
