,Product_name_Flipkart,Flipkart_price,Product_name_Amazon,Amazon_price
0,DigiClues T-2 TWS With Power-Bank HQ Bluetooth Headset,999,No similar product,0
1,APPLE MMTN2ZM/A Wired Headset,"1,649",No similar product,0
2,"TEQIR TR- 51 Wireless Neckband with 36 Hours Playtime, Bluetooth 5.1 Bluetooth Headset",598,No similar product,0
3,Apple AirPods with Charging Case Bluetooth Headset with Mic,"12,400",APPLE AIRPODS (2ND GENERATION),"22,990"
4,DigiClues B-235 Neckband HD Sound With ASAP charging Bluetooth Headset,599,No similar product,0
5,DigiClues Air-320 with Up to 18 Hours Playback Bluetooth Headset,749,No similar product,0
6,DigiClues T-2 Smart TWS with Power Bank Bluetooth Headset,999,No similar product,0
7,CIHLEX BT26 Long Life Battery Backup 25 Hours Bluetooth Headset,699,No similar product,0
8,TEQIR M31Water Resistance headphone Bluetooth Headset Neckband Bluetooth Headset,599,No similar product,0
9,TECHEMPIRE HIGH WAVE AIRPODS BLK-4 Bluetooth Headset,499,No similar product,0
10,APPLE Airpods (3rd Generation) Bluetooth Headset,"18,500",APPLE AIRPODS (2ND GENERATION),"22,990"
11,ULTADOR M31 HIGH BASS GREEN With Long Life Battery Backup Quality 25 Hours Bluetooth Headset,599,No similar product,0
12,DigiClues Wireless TWS T-2 With Charging Case & Power Bank Bluetooth Headset,999,No similar product,0
13,DigiClues L-21 Smart TWS With Charging Case HD Sound Technology Bluetooth Headset,849,No similar product,0
14,APPLE Airpods Pro with MagSafe Charging Case Bluetooth Headset,"21,900",APPLE AIRPODS (2ND GENERATION),"22,990"
15,TECHEMPIRE AIR_PODS With Wireless Charging Case Bluetooth Headset Bluetooth Headset,499,No similar product,0
16,DigiClues Air-Pro TWS with Charginge Case Mic Stereo Sound Quality Bluetooth Headset,699,No similar product,0
17,DigiClues wireless single ear headset with microphone Bluetooth Headset,263,No similar product,0
18,TEQIR Classical Sound Bluetooth Neckband Long Life Battery 15HR Headset Bluetooth Headset,475,No similar product,0
19,"TECHEMPIRE Earbuds with 8H Playback, Touch Controls, with Portable Charging Case Bluetooth Headset",510,No similar product,0
20,Qexle High Quality Bluetooth Neckband for All Mobile Bluetooth Headset,564,No similar product,0
21,"ULTADOR Wireless Bluetooth with Mic 30 Hours Playtime, Waterproof IPX5, Bluetooth Headset",569,No similar product,0
22,CIHLEX CX-900 Dynamic Beats Powered Wireless Sports Bluetooth Earphones Bluetooth Headset,448,No similar product,0
23,ULTADOR Wireless earphone HIGH quality sound and mic low price Bluetooth Headset Bluetooth Headset,599,No similar product,0
24,DigiClues L-21 Smart TWS With Charging Case HQ Technology Bluetooth Headset,849,No similar product,0
25,DigiClues Air-Pro Smart TWS with Charginge Case Mic Powerfull HD Stereo Sound Quality Bluetooth Headset,699,No similar product,0
26,ULTADOR ULD M-31 Bluetooth5.1 Headphones with Neckband Microphone 30Hours Battery Life Bluetooth Headset,599,No similar product,0
27,DigiClues Smart Calling Single Ear Bluetooth Headset,299,No similar product,0
28,DigiClues Wireless Smart TWS T-2 With Charging Case & Power-Bank HQ Sound Bluetooth Headset,999,No similar product,0
29,CIHLEX CXS-19 Super Bass Bluetooth Earphone Neckband Headphone Long Life Battery Bluetooth Headset,599,No similar product,0
30,DigiClues Gaming TWS With Charging Case & 65ms Latency Tecnology Bluetooth Headset,999,No similar product,0
31,CIHLEX Sports Wireless Neckband Bluetooth Headset,428,No similar product,0
32,CIHLEX High Quality Bluetooth Neckband for All Mobile Bluetooth Headset,699,No similar product,0
33,TEQIR Neckband with Upto 15 Hours Playtime Crystal Clear Sound with High Bass & Mic Bluetooth Headset,475,No similar product,0
34,CIHLEX Bluetooth Headphone Neckbands Earphones Earbuds Long Lifes Battery Bluetooth Headset,588,No similar product,0
35,CIHYARD 25Hr Long Life Battery Bluetooth Headphone Neckband Earphone Clear Sound Bluetooth Headset,788,No similar product,0
36,APPLE MNHF2ZM/A Wired Headset,"1,529",No similar product,0
37,DigiClues T-18 TWS Bluetooth Headset,999,No similar product,0
38,CIHLEX BT-22 SUPER BASS Grey With Long Life Battery Bluetooth Headset,446,No similar product,0
39,"CIHLEX Waterproof Bluetooth Neckband, Wireless Stereo Headset With Mic Bluetooth Headset",699,No similar product,0
